month,cart,purchase,view,purchase_rate,total_price_total,sessions_total,avg_price_per_session
2019-10,926516,742849,40779399,0.018216282,12323881000.0,10549715,1168.1719
2019-11,3028930,916939,63556110,0.014427236,19741583000.0,16578404,1190.8011
