brand,conversion_rate(%)
veston,1.090836969456565
adagio,1.08991825613079
panasonic,1.0887718806175657
olympus,1.0880316518298714
imetec,1.0869565217391304
hightechway,1.0869565217391304
monkey,1.0869565217391304
centurion,1.086749285033365
rivacase,1.0865815798551224
pituso,1.0829929988331388
purederm,1.0817307692307692
alpinapabliser,1.0810810810810811
meizu,1.0808733857899397
yamaha,1.0804720831871155
protherm,1.0802469135802468
lenovo,1.0799859431941954
nutrex,1.0792525773195876
holicy,1.078167115902965
exide,1.0781224083595953
hotwheels,1.0752688172043012
phanteks,1.0752688172043012
tutu,1.0752688172043012
tizo,1.0752688172043012
mutlu,1.075032909170689
max,1.06951871657754
babymoov,1.06951871657754
gkhair,1.069435833849969
sinbo,1.0677466863033873
thomas,1.0663379166366713
akro,1.0638297872340425
givenchy,1.0609972567371309
grape,1.060585973750497
avs,1.0602205258693809
krause,1.0593742301059375
wingoffly,1.0590836792489429
lite-on,1.055662188099808
lorelli-bertoni,1.054702872884691
nasomatto,1.0539994224660698
deviser,1.0534236267870578
dds,1.053159478435306
nikon,1.053021075839102
scarlett,1.0528701169662
lamarkahome,1.0526315789473684
ballistix,1.0526315789473684
lirene,1.0518766435572555
pyrex,1.0516934046345812
bertoni,1.0505706508762713
apollo,1.049888880373975
triumphnord,1.0498687664041995
zeppelin,1.0498409331919405
akai,1.0491803278688525
sonny,1.0471204188481675
toshiba,1.046465945212329
beyerdynamic,1.0452961672473868
saturn,1.0451984291533527
joyor,1.0443864229765014
now,1.0441767068273093
moulinex,1.0439907387918332
rinnai,1.0422632000916274
damixa,1.0416666666666665
kicx,1.039487781235651
shogun,1.0389610389610389
bardahl,1.0385446434794732
vestel,1.0378827192527245
agu,1.0362694300518136
akg,1.0355695632597928
genius,1.0310590631364562
sjrc,1.0309278350515463
sabi,1.0309278350515463
kleancolor,1.0309278350515463
delux,1.0302225441667674
cort,1.0296870821075155
maytoni,1.0282776349614395
flight,1.027621416415761
squier,1.0275380189066996
san,1.0273972602739725
havit,1.0269576379974326
mars,1.0268562401263823
eksmo,1.0259917920656634
hellion,1.0256410256410255
fengnix,1.0256410256410255
llarri,1.0256410256410255
babyono,1.0256410256410255
crossstreet,1.0230179028132993
tuka,1.0225763612217795
total,1.0223942848587255
redken,1.0217113665389528
abtoys,1.0204081632653061
celine,1.0204081632653061
alesis,1.0202543096949288
moser,1.0179350460494425
joie,1.0172603193234315
ozkaplan,1.0169491525423728
kx,1.0169491525423728
profiko,1.0169491525423728
kangkang,1.015228426395939
aerocool,1.0145417653026716
homeart,1.0140845070422535
hisense,1.0134684624616614
minerva,1.0133578995854444
rovigo,1.0121457489878543
babytime,1.0112430123735945
ibox,1.0110077006661313
continent,1.0102440636359344
raveltex,1.0101010101010102
longstyle,1.0101010101010102
pearl,1.0101010101010102
fujida,1.009501187648456
teknum,1.0092514718250631
nioxin,1.0091743119266057
